Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,3,TERM BLOCK PLUG 4POS STR 5.08MM,277-1013-ND,digikey
2,CONNECTOR,3,TERM BLOCK PLUG 4POS 5.08MM,277-1042-ND,digikey
3,CONNECTOR,3,TERM BLOCK PLUG 4POS STR 3.81MM,277-1163-ND,digikey
4,CONNECTOR,3,TERM BLOCK PLUG 4POS 90DEG 3.81MM,277-1193-ND,digikey
5,DRIVER,3,TMC2130 STEPPER DRIVER BOARD,1460-1187-ND,digikey
6,DRIVER,3,HEATSINK 14-DIP/16-DIP,501100B00000G-ND,digikey
7,DRIVER,1,TAPE ADHESIVE TRANSFER 1/2in X5YD,3M10315-ND,digikey
